87	70303	0.00433439	0.0726894	0.265048	0.0810574	0.84739	1.24395	1.03435	0.129377	1.09496	0.0826488	5.19879	1.3095	0.176047	0.784919	0.371084539	0.006852541	0.058173451	1.290236214	19.22803738	10.68224299	0.207053
88	70195	0.00441721	0.075132	0.261075	0.0817432	0.828639	1.27339	1.01945	0.156003	1.09598	0.0823352	5.35052	1.30852	0.175818	0.81965	0.44704052	0.010609795	0.070739561	0.895311994	37.13258249	20.62921249	0.201993
89	59510	0.00502764	0.0696329	0.272884	0.0899008	0.854733	1.38785	0.88439	0.167459	1.04459	0.0768304	6.61517	1.37979	0.167426	0.812341	0.458773393	0.010587002	0.086943112	0.969262026	47.91821209	26.62122894	0.205456
90	74297	0.00444994	0.0768498	0.280114	0.0827424	0.830307	1.29589	0.926024	0.160564	1.06312	0.0790769	5.42554	1.35754	0.169771	0.837606	0.523342178	0.007575494	0.097346643	0.644181686	37.270999	20.70611055	0.254667
91	74938	0.00432797	0.0764299	0.274872	0.083161	0.820425	1.32723	0.930894	0.135897	1.07556	0.0801309	5.29586	1.33818	0.179283	0.831577	0.765801545	0.009853065	0.056062013	0.736027806	42.41279996	23.56266664	0.239285
92	65938	0.00439299	0.0760342	0.287438	0.0784875	0.85297	1.22423	0.94181	0.155497	1.0717	0.081992	5.67293	1.28768	0.164655	0.780248	0.420959085	0.016515149	0.033138235	0.842239346	33.60932939	18.67184966	0.213627
93	78219	0.0050012	0.0674333	0.266873	0.0865535	0.851401	1.2861	1.11792	0.165477	1.0642	0.0816444	5.72608	1.41232	0.159781	0.800722	0.422989503	0.006494396	0.057901509	0.761214331	37.84682136	21.02601187	0.207392
94	74415	0.00447474	0.0750316	0.275027	0.0820189	0.836469	1.31644	0.960274	0.140104	1.08485	0.0827071	5.50755	1.32381	0.165235	0.816965	0.68447938	0.006249217	0.109442478	0.851941699	39.59591049	21.99772805	0.237928
95	69212	0.00454022	0.0751506	0.280834	0.0820078	0.833005	1.26623	1.01069	0.164246	1.08357	0.0820686	5.73461	1.37584	0.166205	0.822393	0.099766097	0.013033479	0.062133772	1.402003283	40.17259133	22.31810629	0.199112
96	74447	0.00440545	0.0750139	0.279011	0.0843676	0.829229	1.31038	0.984061	0.140452	1.07226	0.0787879	5.44691	1.39147	0.17815	0.840334	0.085855166	0.006432005	0.0961861	1.078233883	47.00213938	26.11229966	0.231257
97	74052	0.00436774	0.0731497	0.268607	0.081009	0.839955	1.25787	1.02028	0.133246	1.09061	0.0831048	5.20933	1.2888	0.176424	0.8173	0.359502223	0.00908685	0.169458955	0.83422204	25.96472622	14.4248479	0.204426
98	74052	0.00436774	0.0731497	0.268607	0.081009	0.839955	1.25787	1.02028	0.133246	1.09061	0.0831048	5.20933	1.2888	0.176424	0.8173	0.47533366	0.010212118	0.194483799	0.962977037	46.47995701	25.82219834	0.204426
